Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value
Symptoms of Anxiety Disorder,By State,Alabama,Alabama,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,25.6
Symptoms of Anxiety Disorder,By State,Alaska,Alaska,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,27.7
Symptoms of Anxiety Disorder,By State,Arizona,Arizona,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,32.3
Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,33.7
Symptoms of Anxiety Disorder,By State,California,California,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,30.8
Symptoms of Anxiety Disorder,By State,Colorado,Colorado,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,32.6
Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,34.9
Symptoms of Anxiety Disorder,By State,Delaware,Delaware,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,29.9
Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.4
Symptoms of Anxiety Disorder,By State,Florida,Florida,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,32.6
Symptoms of Anxiety Disorder,By State,Georgia,Georgia,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.9
Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,32.3
Symptoms of Anxiety Disorder,By State,Idaho,Idaho,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,26.9
Symptoms of Anxiety Disorder,By State,Illinois,Illinois,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.1
Symptoms of Anxiety Disorder,By State,Indiana,Indiana,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.8
Symptoms of Anxiety Disorder,By State,Iowa,Iowa,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,22.5
Symptoms of Anxiety Disorder,By State,Kansas,Kansas,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,26.4
Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.6
Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,34.4
Symptoms of Anxiety Disorder,By State,Maine,Maine,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,29.5
Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,27.7
Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,37.0
Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,32.5
Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,28.5
Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,30.3
Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,30.4
Symptoms of Anxiety Disorder,By State,Montana,Montana,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,22.8
Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.2
Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.4
Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.3
Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.4
Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,27.9
Symptoms of Anxiety Disorder,By State,New York,New York,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,36.1
Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,30.0
Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.7
Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.1
Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,28.6
Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.5
Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,31.0
Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,27.6
Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,27.8
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,22.1
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,28.2
Symptoms of Anxiety Disorder,By State,Texas,Texas,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,29.7
Symptoms of Anxiety Disorder,By State,Utah,Utah,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,28.9
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,30.6
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,28.5
Symptoms of Anxiety Disorder,By State,Washington,Washington,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,30.6
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,28.8
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,27.1
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.9
Symptoms of Anxiety Disorder,By State,Alabama,Alabama,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,27.2
Symptoms of Anxiety Disorder,By State,Alaska,Alaska,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,27.4
Symptoms of Anxiety Disorder,By State,Arizona,Arizona,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,34.2
Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,29.1
Symptoms of Anxiety Disorder,By State,California,California,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,31.4
Symptoms of Anxiety Disorder,By State,Colorado,Colorado,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,29.7
