week,18 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and above
4/26/2020,40.2,34.4,34.1,31.0,24.9,16.4,14.6
5/3/2020,40.2,34.4,34.1,31.0,24.9,16.4,14.6
5/10/2020,42.0,34.3,31.9,31.3,22.0,16.4,11.0
5/17/2020,38.6,32.2,30.7,28.4,22.3,13.4,11.8
5/24/2020,39.1,35.2,31.4,29.3,22.2,15.0,17.1
5/31/2020,42.2,35.8,32.1,29.3,23.0,18.2,13.3
6/7/2020,41.7,36.8,34.9,31.8,22.3,15.4,13.7
6/14/2020,42.9,35.8,34.8,31.7,23.6,18.0,14.6
6/21/2020,42.8,36.0,34.0,32.4,23.1,14.8,11.4
6/28/2020,42.4,38.9,35.4,33.9,25.0,18.6,16.2
7/5/2020,44.4,40.6,36.1,33.4,26.5,18.4,19.3
7/12/2020,47.7,42.9,37.7,34.7,27.8,17.8,15.6
7/19/2020,46.6,42.8,39.9,36.1,27.3,19.5,13.4
8/23/2020,41.0,37.7,33.1,31.1,25.2,18.2,14.6
8/30/2020,41.0,37.7,33.1,31.1,25.2,18.2,14.6
9/6/2020,40.6,37.9,33.7,30.8,24.9,19.2,17.7
9/13/2020,40.6,37.9,33.7,30.8,24.9,19.2,17.7
9/20/2020,42.5,39.2,34.8,31.4,26.5,19.2,15.3
9/27/2020,42.5,39.2,34.8,31.4,26.5,19.2,15.3
10/4/2020,44.7,38.1,35.3,31.1,24.8,18.0,15.0
10/11/2020,44.7,38.1,35.3,31.1,24.8,18.0,15.0
10/18/2020,44.0,40.4,35.1,30.4,26.5,18.2,17.2
10/25/2020,44.0,40.4,35.1,30.4,26.5,18.2,17.2
11/1/2020,51.7,43.1,38.9,34.1,28.7,21.3,15.4
11/8/2020,51.7,43.1,38.9,34.1,28.7,21.3,15.4
11/15/2020,48.7,43.3,41.0,35.3,30.2,24.2,17.9
11/22/2020,48.7,43.3,41.0,35.3,30.2,24.2,17.9
11/29/2020,49.0,42.6,40.7,35.1,27.3,21.2,16.1
12/6/2020,49.0,42.6,40.7,35.1,27.3,21.2,16.1
12/13/2020,48.1,44.3,40.0,36.2,28.6,21.5,22.5
12/20/2020,48.1,44.3,40.0,36.2,28.6,21.5,22.5
1/10/2021,46.3,40.0,40.0,36.0,29.6,22.3,20.3
1/17/2021,46.3,40.0,40.0,36.0,29.6,22.3,20.3
1/24/2021,48.5,42.2,36.5,36.3,29.5,22.5,17.5
1/31/2021,48.5,42.2,36.5,36.3,29.5,22.5,17.5
2/7/2021,47.5,39.6,35.6,31.6,27.7,19.3,19.0
2/14/2021,47.5,39.6,35.6,31.6,27.7,19.3,19.0
2/21/2021,47.4,38.9,35.6,32.3,25.8,19.6,18.1
2/28/2021,47.4,38.9,35.6,32.3,25.8,19.6,18.1
3/7/2021,43.7,38.4,33.2,30.5,23.2,17.2,19.7
3/14/2021,43.7,38.4,33.2,30.5,23.2,17.2,19.7
3/21/2021,42.7,36.8,33.6,27.3,22.6,16.3,17.9
3/28/2021,42.7,36.8,33.6,27.3,22.6,16.3,17.9
4/18/2021,45.0,33.5,30.4,24.3,18.6,14.3,13.2
4/25/2021,45.0,33.5,30.4,24.3,18.6,14.3,13.2
5/2/2021,43.0,31.9,27.6,25.6,18.7,13.0,16.0
5/9/2021,43.0,31.9,27.6,25.6,18.7,13.0,16.0
5/16/2021,39.5,32.8,27.6,24.2,18.4,12.1,11.8
5/23/2021,39.5,32.8,27.6,24.2,18.4,12.1,11.8
5/30/2021,38.1,31.4,28.6,24.5,17.5,12.8,11.0
6/6/2021,38.1,31.4,28.6,24.5,17.5,12.8,11.0
6/13/2021,38.6,32.3,29.6,24.9,18.9,13.1,7.6
6/20/2021,38.6,32.3,29.6,24.9,18.9,13.1,7.6
6/27/2021,39.3,30.2,27.7,22.9,16.7,11.4,11.2
7/4/2021,39.3,30.2,27.7,22.9,16.7,11.4,11.2
7/25/2021,44.8,34.0,29.2,23.7,18.0,11.5,13.9
8/1/2021,44.8,34.0,29.2,23.7,18.0,11.5,13.9
8/8/2021,39.4,36.3,28.3,24.7,17.3,12.1,12.8
8/15/2021,39.4,36.3,28.3,24.7,17.3,12.1,12.8
8/22/2021,39.9,36.2,31.3,27.1,18.4,13.5,11.1
8/29/2021,39.9,36.2,31.3,27.1,18.4,13.5,11.1
9/5/2021,43.6,36.0,31.9,25.3,18.9,12.5,13.8
9/12/2021,43.6,36.0,31.9,25.3,18.9,12.5,13.8
9/19/2021,42.1,34.7,30.3,27.7,19.0,12.3,12.2
9/26/2021,42.1,34.7,30.3,27.7,19.0,12.3,12.2
10/3/2021,41.0,34.9,31.2,25.8,18.1,12.2,16.2
10/10/2021,41.0,34.9,31.2,25.8,18.1,12.2,16.2
12/5/2021,37.7,32.3,32.3,25.8,17.5,11.4,13.0
12/12/2021,37.7,32.3,32.3,25.8,17.5,11.4,13.0
1/2/2022,41.3,35.5,31.7,25.9,19.0,12.1,12.4
1/9/2022,41.3,35.5,31.7,25.9,19.0,12.1,12.4
1/30/2022,39.2,36.8,29.3,25.8,19.4,11.6,9.3
2/6/2022,39.2,36.8,29.3,25.8,19.4,11.6,9.3
3/6/2022,41.7,34.1,29.9,25.2,19.0,12.7,16.0
3/13/2022,41.7,34.1,29.9,25.2,19.0,12.7,16.0
