week,Less than a high school diploma,High school diploma or GED,Some college/Associate's degree,Bachelor's degree or higher
4/26/2020,37.3,30.6,33.5,27.0
5/3/2020,37.3,30.6,33.5,27.0
5/10/2020,36.6,32.8,31.5,24.2
5/17/2020,34.3,30.5,30.2,22.7
5/24/2020,40.6,29.5,32.4,23.7
5/31/2020,37.8,31.4,32.8,25.9
6/7/2020,36.9,31.0,33.6,27.3
6/14/2020,37.7,32.5,34.5,26.6
6/21/2020,36.6,32.7,33.7,26.0
6/28/2020,41.0,33.5,36.4,26.9
7/5/2020,40.7,34.9,37.0,28.3
7/12/2020,44.0,34.6,39.3,30.6
7/19/2020,42.0,36.4,38.1,32.2
8/23/2020,35.4,30.1,34.2,29.1
8/30/2020,35.4,30.1,34.2,29.1
9/6/2020,38.9,30.6,33.8,28.5
9/13/2020,38.9,30.6,33.8,28.5
9/20/2020,39.2,31.1,34.6,30.3
9/27/2020,39.2,31.1,34.6,30.3
10/4/2020,37.8,30.8,35.2,29.9
10/11/2020,37.8,30.8,35.2,29.9
10/18/2020,37.0,31.0,36.4,30.3
10/25/2020,37.0,31.0,36.4,30.3
11/1/2020,36.2,35.3,39.3,34.5
11/8/2020,36.2,35.3,39.3,34.5
11/15/2020,43.1,36.7,40.2,33.8
11/22/2020,43.1,36.7,40.2,33.8
11/29/2020,46.9,35.2,40.0,31.4
12/6/2020,46.9,35.2,40.0,31.4
12/13/2020,42.7,38.1,40.1,31.5
12/20/2020,42.7,38.1,40.1,31.5
1/10/2021,42.9,34.7,38.8,32.3
1/17/2021,42.9,34.7,38.8,32.3
1/24/2021,43.2,34.9,40.7,31.3
1/31/2021,43.2,34.9,40.7,31.3
2/7/2021,39.3,32.7,37.5,29.9
2/14/2021,39.3,32.7,37.5,29.9
2/21/2021,39.2,33.4,37.4,28.2
2/28/2021,39.2,33.4,37.4,28.2
3/7/2021,35.8,30.4,34.9,28.0
3/14/2021,35.8,30.4,34.9,28.0
3/21/2021,38.2,29.7,33.6,25.4
3/28/2021,38.2,29.7,33.6,25.4
4/18/2021,35.9,28.3,30.6,21.9
4/25/2021,35.9,28.3,30.6,21.9
5/2/2021,34.5,25.9,30.6,21.6
5/9/2021,34.5,25.9,30.6,21.6
5/16/2021,32.3,26.6,28.7,20.8
5/23/2021,32.3,26.6,28.7,20.8
5/30/2021,34.2,26.4,28.4,20.2
6/6/2021,34.2,26.4,28.4,20.2
6/13/2021,29.1,28.7,29.4,20.2
6/20/2021,29.1,28.7,29.4,20.2
6/27/2021,35.1,24.1,28.7,18.9
7/4/2021,35.1,24.1,28.7,18.9
7/25/2021,32.7,27.6,31.2,21.2
8/1/2021,32.7,27.6,31.2,21.2
8/8/2021,31.9,25.4,30.3,23.1
8/15/2021,31.9,25.4,30.3,23.1
8/22/2021,31.0,27.7,31.1,24.2
8/29/2021,31.0,27.7,31.1,24.2
9/5/2021,27.8,29.5,30.2,25.0
9/12/2021,27.8,29.5,30.2,25.0
9/19/2021,35.8,27.1,31.5,23.5
9/26/2021,35.8,27.1,31.5,23.5
10/3/2021,33.8,27.0,30.9,22.9
10/10/2021,33.8,27.0,30.9,22.9
12/5/2021,29.0,28.2,28.7,22.4
12/12/2021,29.0,28.2,28.7,22.4
1/2/2022,27.9,28.2,31.3,24.3
1/9/2022,27.9,28.2,31.3,24.3
1/30/2022,28.6,26.8,31.0,23.7
2/6/2022,28.6,26.8,31.0,23.7
3/6/2022,28.9,27.2,31.4,23.2
3/13/2022,28.9,27.2,31.4,23.2
