Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value
Symptoms of Depressive Disorder,By Sex,United States,Male,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,20.8
Symptoms of Depressive Disorder,By Sex,United States,Female,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,26.1
Symptoms of Depressive Disorder,By Sex,United States,Male,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,22.3
Symptoms of Depressive Disorder,By Sex,United States,Female,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,25.8
Symptoms of Depressive Disorder,By Sex,United States,Male,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,22.1
Symptoms of Depressive Disorder,By Sex,United States,Female,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.7
Symptoms of Depressive Disorder,By Sex,United States,Male,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,22.7
Symptoms of Depressive Disorder,By Sex,United States,Female,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,26.9
Symptoms of Depressive Disorder,By Sex,United States,Male,1,5,"May 28 - June 2, 2020",05/28/2020,06/02/2020,23.0
Symptoms of Depressive Disorder,By Sex,United States,Female,1,5,"May 28 - June 2, 2020",05/28/2020,06/02/2020,27.4
Symptoms of Depressive Disorder,By Sex,United States,Male,1,6,"June 4 - June 9, 2020",06/04/2020,06/09/2020,23.7
Symptoms of Depressive Disorder,By Sex,United States,Female,1,6,"June 4 - June 9, 2020",06/04/2020,06/09/2020,27.8
Symptoms of Depressive Disorder,By Sex,United States,Male,1,7,"June 11 - June 16, 2020",06/11/2020,06/16/2020,23.3
Symptoms of Depressive Disorder,By Sex,United States,Female,1,7,"June 11 - June 16, 2020",06/11/2020,06/16/2020,26.7
Symptoms of Depressive Disorder,By Sex,United States,Male,1,8,"June 18 - June 23, 2020",06/18/2020,06/23/2020,23.8
Symptoms of Depressive Disorder,By Sex,United States,Female,1,8,"June 18 - June 23, 2020",06/18/2020,06/23/2020,27.3
Symptoms of Depressive Disorder,By Sex,United States,Male,1,9,"June 25 - June 30, 2020",06/25/2020,06/30/2020,25.0
Symptoms of Depressive Disorder,By Sex,United States,Female,1,9,"June 25 - June 30, 2020",06/25/2020,06/30/2020,28.8
Symptoms of Depressive Disorder,By Sex,United States,Male,1,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,26.6
Symptoms of Depressive Disorder,By Sex,United States,Female,1,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,28.6
Symptoms of Depressive Disorder,By Sex,United States,Male,1,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,26.0
Symptoms of Depressive Disorder,By Sex,United States,Female,1,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,30.0
Symptoms of Depressive Disorder,By Sex,United States,Male,1,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,27.8
Symptoms of Depressive Disorder,By Sex,United States,Female,1,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,31.3
Symptoms of Depressive Disorder,By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.5
Symptoms of Depressive Disorder,By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,26.4
Symptoms of Depressive Disorder,By Sex,United States,Male,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,22.8
Symptoms of Depressive Disorder,By Sex,United States,Female,2,14,"Sep 2 - Sep 14, 2020",09/02/2020,09/14/2020,26.0
Symptoms of Depressive Disorder,By Sex,United States,Male,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,22.7
Symptoms of Depressive Disorder,By Sex,United States,Female,2,15,"Sep 16 - Sep 28, 2020",09/16/2020,09/28/2020,27.2
Symptoms of Depressive Disorder,By Sex,United States,Male,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,23.5
Symptoms of Depressive Disorder,By Sex,United States,Female,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,27.2
Symptoms of Depressive Disorder,By Sex,United States,Male,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,23.7
Symptoms of Depressive Disorder,By Sex,United States,Female,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,28.1
