week,18 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and above
4/26/2020,32.7,25.7,24.8,23.2,18.4,13.6,14.4
5/3/2020,32.7,25.7,24.8,23.2,18.4,13.6,14.4
5/10/2020,36.2,27.7,25.5,24.1,17.6,12.2,9.1
5/17/2020,36.7,26.7,25.0,24.6,18.0,12.3,14.4
5/24/2020,36.7,27.4,24.2,24.6,19.8,13.3,17.1
5/31/2020,36.8,27.9,25.7,25.1,18.0,15.5,14.9
6/7/2020,37.0,29.1,27.0,26.0,19.8,13.1,12.3
6/14/2020,36.8,26.7,25.9,24.6,19.6,15.5,9.9
6/21/2020,36.7,28.3,26.2,26.0,19.3,14.5,10.8
6/28/2020,36.6,30.7,27.7,27.1,20.5,16.1,15.2
7/5/2020,35.8,31.7,27.6,28.2,21.8,17.8,18.7
7/12/2020,39.0,32.3,28.5,29.2,21.7,13.9,12.0
7/19/2020,41.7,32.8,31.0,28.4,23.6,16.9,12.6
8/23/2020,35.4,27.9,23.8,23.8,19.7,14.8,13.8
8/30/2020,35.4,27.9,23.8,23.8,19.7,14.8,13.8
9/6/2020,34.9,27.2,25.8,23.1,19.4,14.9,13.3
9/13/2020,34.9,27.2,25.8,23.1,19.4,14.9,13.3
9/20/2020,35.7,28.5,25.1,23.6,20.8,15.5,12.5
9/27/2020,35.7,28.5,25.1,23.6,20.8,15.5,12.5
10/4/2020,39.3,28.4,26.4,22.6,19.6,15.0,10.8
10/11/2020,39.3,28.4,26.4,22.6,19.6,15.0,10.8
10/18/2020,39.0,30.3,26.3,23.7,20.4,15.4,13.3
10/25/2020,39.0,30.3,26.3,23.7,20.4,15.4,13.3
11/1/2020,43.4,33.5,27.4,25.5,20.5,16.4,12.6
11/8/2020,43.4,33.5,27.4,25.5,20.5,16.4,12.6
11/15/2020,43.4,32.2,29.9,26.7,21.5,17.2,18.2
11/22/2020,43.4,32.2,29.9,26.7,21.5,17.2,18.2
11/29/2020,42.1,33.4,30.5,28.0,21.7,17.2,14.4
12/6/2020,42.1,33.4,30.5,28.0,21.7,17.2,14.4
12/13/2020,43.6,34.9,31.5,28.9,22.5,18.4,21.7
12/20/2020,43.6,34.9,31.5,28.9,22.5,18.4,21.7
1/10/2021,41.1,31.9,29.1,27.1,22.3,18.7,18.4
1/17/2021,41.1,31.9,29.1,27.1,22.3,18.7,18.4
1/24/2021,43.4,31.6,27.1,28.0,22.4,17.7,15.3
1/31/2021,43.4,31.6,27.1,28.0,22.4,17.7,15.3
2/7/2021,43.9,31.2,28.1,26.0,23.0,16.2,16.0
2/14/2021,43.9,31.2,28.1,26.0,23.0,16.2,16.0
2/21/2021,43.2,31.7,27.1,27.1,21.1,16.9,14.9
2/28/2021,43.2,31.7,27.1,27.1,21.1,16.9,14.9
3/7/2021,41.2,30.7,26.5,23.7,19.3,15.4,18.0
3/14/2021,41.2,30.7,26.5,23.7,19.3,15.4,18.0
3/21/2021,38.4,29.0,25.6,22.1,18.4,13.8,17.2
3/28/2021,38.4,29.0,25.6,22.1,18.4,13.8,17.2
4/18/2021,41.7,26.7,23.5,19.9,16.2,11.9,13.5
4/25/2021,41.7,26.7,23.5,19.9,16.2,11.9,13.5
5/2/2021,36.9,26.1,21.4,20.6,16.3,11.7,12.6
5/9/2021,36.9,26.1,21.4,20.6,16.3,11.7,12.6
5/16/2021,34.6,25.8,22.7,19.6,15.7,12.1,10.2
5/23/2021,34.6,25.8,22.7,19.6,15.7,12.1,10.2
5/30/2021,33.4,25.2,22.6,19.4,14.7,11.4,8.2
6/6/2021,33.4,25.2,22.6,19.4,14.7,11.4,8.2
6/13/2021,36.0,25.4,23.2,19.5,16.0,10.7,6.4
6/20/2021,36.0,25.4,23.2,19.5,16.0,10.7,6.4
6/27/2021,37.3,24.4,21.8,18.9,14.2,10.3,11.4
7/4/2021,37.3,24.4,21.8,18.9,14.2,10.3,11.4
7/25/2021,38.6,26.7,22.5,18.6,15.3,11.1,13.2
8/1/2021,38.6,26.7,22.5,18.6,15.3,11.1,13.2
8/8/2021,33.2,26.7,22.8,19.6,14.6,10.3,11.4
8/15/2021,33.2,26.7,22.8,19.6,14.6,10.3,11.4
8/22/2021,36.7,28.1,22.9,20.8,16.0,10.9,9.8
8/29/2021,36.7,28.1,22.9,20.8,16.0,10.9,9.8
9/5/2021,38.1,26.5,24.8,19.8,15.2,10.1,12.5
9/12/2021,38.1,26.5,24.8,19.8,15.2,10.1,12.5
9/19/2021,36.4,26.8,22.3,21.9,15.5,10.7,12.2
9/26/2021,36.4,26.8,22.3,21.9,15.5,10.7,12.2
10/3/2021,36.0,25.7,23.9,20.3,15.1,10.5,12.5
10/10/2021,36.0,25.7,23.9,20.3,15.1,10.5,12.5
12/5/2021,32.6,25.3,24.0,21.0,14.4,9.4,13.2
12/12/2021,32.6,25.3,24.0,21.0,14.4,9.4,13.2
1/2/2022,35.4,28.5,24.0,20.9,16.3,11.2,9.0
1/9/2022,35.4,28.5,24.0,20.9,16.3,11.2,9.0
1/30/2022,35.5,29.3,22.3,20.2,15.3,10.1,8.2
2/6/2022,35.5,29.3,22.3,20.2,15.3,10.1,8.2
3/6/2022,34.7,26.7,22.6,19.4,15.5,11.0,12.8
3/13/2022,34.7,26.7,22.6,19.4,15.5,11.0,12.8
