week,Less than a high school diploma,High school diploma or GED,Some college/Associate's degree,Bachelor's degree or higher
4/26/2020,32.7,25.4,25.6,17.6
5/3/2020,32.7,25.4,25.6,17.6
5/10/2020,31.4,27.1,26.5,17.2
5/17/2020,31.3,27.8,26.8,17.3
5/24/2020,38.7,26.6,27.6,17.3
5/31/2020,31.9,27.8,27.8,18.6
6/7/2020,37.1,27.6,28.2,18.9
6/14/2020,31.4,27.5,28.4,17.9
6/21/2020,31.4,28.8,28.6,18.2
6/28/2020,37.1,28.7,30.0,19.4
7/5/2020,38.3,29.1,31.2,19.9
7/12/2020,34.9,28.6,32.3,21.6
7/19/2020,38.4,31.4,33.0,22.2
8/23/2020,29.1,27.0,27.2,18.6
8/30/2020,29.1,27.0,27.2,18.6
9/6/2020,33.0,25.7,27.5,18.4
9/13/2020,33.0,25.7,27.5,18.4
9/20/2020,34.4,25.7,27.4,19.9
9/27/2020,34.4,25.7,27.4,19.9
10/4/2020,32.0,26.9,29.0,19.1
10/11/2020,32.0,26.9,29.0,19.1
10/18/2020,33.4,27.4,29.6,19.8
10/25/2020,33.4,27.4,29.6,19.8
11/1/2020,34.8,30.6,31.3,20.2
11/8/2020,34.8,30.6,31.3,20.2
11/15/2020,37.7,30.3,32.0,22.0
11/22/2020,37.7,30.3,32.0,22.0
11/29/2020,41.3,31.5,32.1,21.1
12/6/2020,41.3,31.5,32.1,21.1
12/13/2020,38.3,33.8,33.8,22.0
12/20/2020,38.3,33.8,33.8,22.0
1/10/2021,35.2,30.5,32.4,21.1
1/17/2021,35.2,30.5,32.4,21.1
1/24/2021,36.6,29.7,32.5,21.5
1/31/2021,36.6,29.7,32.5,21.5
2/7/2021,37.0,30.1,31.0,21.5
2/14/2021,37.0,30.1,31.0,21.5
2/21/2021,35.1,30.0,31.6,20.6
2/28/2021,35.1,30.0,31.6,20.6
3/7/2021,34.1,28.0,29.9,19.8
3/14/2021,34.1,28.0,29.9,19.8
3/21/2021,32.7,25.2,29.2,18.2
3/28/2021,32.7,25.2,29.2,18.2
4/18/2021,33.8,24.9,26.1,16.2
4/25/2021,33.8,24.9,26.1,16.2
5/2/2021,32.1,22.7,25.8,15.5
5/9/2021,32.1,22.7,25.8,15.5
5/16/2021,29.0,23.7,24.5,15.2
5/23/2021,29.0,23.7,24.5,15.2
5/30/2021,28.5,23.7,23.6,14.5
6/6/2021,28.5,23.7,23.6,14.5
6/13/2021,26.2,25.0,25.2,14.2
6/20/2021,26.2,25.0,25.2,14.2
6/27/2021,32.8,22.7,24.6,13.4
7/4/2021,32.8,22.7,24.6,13.4
7/25/2021,32.0,24.5,25.7,14.6
8/1/2021,32.0,24.5,25.7,14.6
8/8/2021,27.3,24.0,24.2,15.0
8/15/2021,27.3,24.0,24.2,15.0
8/22/2021,28.9,24.9,25.7,16.3
8/29/2021,28.9,24.9,25.7,16.3
9/5/2021,26.9,25.0,25.2,16.6
9/12/2021,26.9,25.0,25.2,16.6
9/19/2021,32.7,23.7,25.9,15.7
9/26/2021,32.7,23.7,25.9,15.7
10/3/2021,29.1,23.1,25.7,15.6
10/10/2021,29.1,23.1,25.7,15.6
12/5/2021,27.7,23.6,23.9,15.7
12/12/2021,27.7,23.6,23.9,15.7
1/2/2022,23.3,24.4,27.1,17.2
1/9/2022,23.3,24.4,27.1,17.2
1/30/2022,22.0,23.1,26.1,17.8
2/6/2022,22.0,23.1,26.1,17.8
3/6/2022,28.1,22.9,26.0,15.3
3/13/2022,28.1,22.9,26.0,15.3
