week,Hispanic or Latino,"Non-Hispanic White, single race","Non-Hispanic Black, single race","Non-Hispanic Asian, single race","Non-Hispanic, other races and multiple races"
4/26/2020,29.4,21.4,25.6,23.6,28.3
5/3/2020,29.4,21.4,25.6,23.6,28.3
5/10/2020,27.9,22.5,27.7,19.5,33.0
5/17/2020,28.9,22.7,28.5,20.9,27.1
5/24/2020,31.4,23.3,24.8,19.5,32.2
5/31/2020,26.3,23.7,29.9,22.0,37.6
6/7/2020,30.8,23.9,29.6,19.8,33.9
6/14/2020,28.4,23.5,28.3,21.0,32.3
6/21/2020,29.0,24.2,28.1,20.1,34.1
6/28/2020,31.1,24.9,30.9,21.5,36.8
7/5/2020,30.9,26.0,29.9,25.0,35.6
7/12/2020,31.0,26.6,30.0,26.4,36.1
7/19/2020,34.2,27.7,32.1,30.5,33.0
8/23/2020,28.5,23.2,26.2,20.8,30.3
8/30/2020,28.5,23.2,26.2,20.8,30.3
9/6/2020,28.9,22.7,28.5,19.1,31.4
9/13/2020,28.9,22.7,28.5,19.1,31.4
9/20/2020,31.0,23.4,25.8,21.0,31.4
9/27/2020,31.0,23.4,25.8,21.0,31.4
10/4/2020,31.5,23.3,29.2,19.0,33.6
10/11/2020,31.5,23.3,29.2,19.0,33.6
10/18/2020,31.3,24.0,28.7,23.1,34.4
10/25/2020,31.3,24.0,28.7,23.1,34.4
11/1/2020,33.5,25.4,34.0,21.8,33.4
11/8/2020,33.5,25.4,34.0,21.8,33.4
11/15/2020,32.5,27.0,31.4,23.2,38.5
11/22/2020,32.5,27.0,31.4,23.2,38.5
11/29/2020,33.1,27.2,32.2,25.7,35.0
12/6/2020,33.1,27.2,32.2,25.7,35.0
12/13/2020,33.0,28.8,35.2,24.0,37.3
12/20/2020,33.0,28.8,35.2,24.0,37.3
1/10/2021,29.6,27.4,31.2,23.6,37.2
1/17/2021,29.6,27.4,31.2,23.6,37.2
1/24/2021,32.1,26.9,31.0,26.2,34.5
1/31/2021,32.1,26.9,31.0,26.2,34.5
2/7/2021,32.7,26.2,31.1,26.9,33.2
2/14/2021,32.7,26.2,31.1,26.9,33.2
2/21/2021,29.5,26.6,31.3,25.2,35.0
2/28/2021,29.5,26.6,31.3,25.2,35.0
3/7/2021,28.2,25.3,28.7,21.7,35.8
3/14/2021,28.2,25.3,28.7,21.7,35.8
3/21/2021,28.3,22.8,27.0,24.7,34.9
3/28/2021,28.3,22.8,27.0,24.7,34.9
4/18/2021,29.3,21.2,24.7,18.5,28.7
4/25/2021,29.3,21.2,24.7,18.5,28.7
5/2/2021,26.1,20.6,23.5,15.9,31.4
5/9/2021,26.1,20.6,23.5,15.9,31.4
5/16/2021,27.4,19.5,23.1,19.6,31.0
5/23/2021,27.4,19.5,23.1,19.6,31.0
5/30/2021,26.3,19.1,22.2,15.6,32.3
6/6/2021,26.3,19.1,22.2,15.6,32.3
6/13/2021,26.5,19.5,26.6,15.1,32.2
6/20/2021,26.5,19.5,26.6,15.1,32.2
6/27/2021,26.4,18.6,24.2,16.8,32.9
7/4/2021,26.4,18.6,24.2,16.8,32.9
7/25/2021,26.8,20.5,24.6,18.0,30.7
8/1/2021,26.8,20.5,24.6,18.0,30.7
8/8/2021,25.3,20.0,23.0,15.7,32.1
8/15/2021,25.3,20.0,23.0,15.7,32.1
8/22/2021,25.4,21.6,24.8,16.2,29.5
8/29/2021,25.4,21.6,24.8,16.2,29.5
9/5/2021,27.9,21.2,21.9,17.1,29.6
9/12/2021,27.9,21.2,21.9,17.1,29.6
9/19/2021,26.8,20.6,26.4,15.8,32.5
9/26/2021,26.8,20.6,26.4,15.8,32.5
10/3/2021,24.5,20.8,22.7,16.1,33.8
10/10/2021,24.5,20.8,22.7,16.1,33.8
12/5/2021,22.7,20.8,22.0,18.5,30.4
12/12/2021,22.7,20.8,22.0,18.5,30.4
1/2/2022,25.3,21.6,26.0,18.4,30.5
1/9/2022,25.3,21.6,26.0,18.4,30.5
1/30/2022,25.0,21.6,21.8,14.0,33.5
2/6/2022,25.0,21.6,21.8,14.0,33.5
3/6/2022,24.5,20.6,22.1,17.4,32.3
3/13/2022,24.5,20.6,22.1,17.4,32.3
