week,Male,Female
4/26/2020,20.8,26.1
5/3/2020,20.8,26.1
5/10/2020,22.3,25.8
5/17/2020,22.1,26.7
5/24/2020,22.7,26.9
5/31/2020,23.0,27.4
6/7/2020,23.7,27.8
6/14/2020,23.3,26.7
6/21/2020,23.8,27.3
6/28/2020,25.0,28.8
7/5/2020,26.6,28.6
7/12/2020,26.0,30.0
7/19/2020,27.8,31.3
8/23/2020,22.5,26.4
8/30/2020,22.5,26.4
9/6/2020,22.8,26.0
9/13/2020,22.8,26.0
9/20/2020,22.7,27.2
9/27/2020,22.7,27.2
10/4/2020,23.5,27.2
10/11/2020,23.5,27.2
10/18/2020,23.7,28.1
10/25/2020,23.7,28.1
11/1/2020,25.4,29.7
11/8/2020,25.4,29.7
11/15/2020,25.7,31.3
11/22/2020,25.7,31.3
11/29/2020,26.7,30.9
12/6/2020,26.7,30.9
12/13/2020,27.9,32.3
12/20/2020,27.9,32.3
1/10/2021,25.9,30.6
1/17/2021,25.9,30.6
1/24/2021,26.3,30.4
1/31/2021,26.3,30.4
2/7/2021,26.1,29.9
2/14/2021,26.1,29.9
2/21/2021,26.7,28.7
2/28/2021,26.7,28.7
3/7/2021,24.2,28.4
3/14/2021,24.2,28.4
3/21/2021,23.2,26.0
3/28/2021,23.2,26.0
4/18/2021,20.5,25.2
4/25/2021,20.5,25.2
5/2/2021,20.1,23.6
5/9/2021,20.1,23.6
5/16/2021,19.7,23.3
5/23/2021,19.7,23.3
5/30/2021,19.3,22.4
6/6/2021,19.3,22.4
6/13/2021,20.1,23.0
6/20/2021,20.1,23.0
6/27/2021,18.4,23.1
7/4/2021,18.4,23.1
7/25/2021,21.1,23.1
8/1/2021,21.1,23.1
8/8/2021,19.6,23.0
8/15/2021,19.6,23.0
8/22/2021,20.7,24.4
8/29/2021,20.7,24.4
9/5/2021,21.2,23.6
9/12/2021,21.2,23.6
9/19/2021,21.2,23.4
9/26/2021,21.2,23.4
10/3/2021,19.7,23.8
10/10/2021,19.7,23.8
12/5/2021,20.0,22.8
12/12/2021,20.0,22.8
1/2/2022,20.7,24.8
1/9/2022,20.7,24.8
1/30/2022,20.2,24.0
2/6/2022,20.2,24.0
3/6/2022,20.4,22.9
3/13/2022,20.4,22.9
