week,United States
4/26/2020,23.5
5/3/2020,23.5
5/10/2020,24.1
5/17/2020,24.4
5/24/2020,24.9
5/31/2020,25.3
6/7/2020,25.8
6/14/2020,25.1
6/21/2020,25.6
6/28/2020,26.9
7/5/2020,27.6
7/12/2020,28.1
7/19/2020,29.6
8/23/2020,24.5
8/30/2020,24.5
9/6/2020,24.4
9/13/2020,24.4
9/20/2020,25.0
9/27/2020,25.0
10/4/2020,25.4
10/11/2020,25.4
10/18/2020,26.0
10/25/2020,26.0
11/1/2020,27.7
11/8/2020,27.7
11/15/2020,28.6
11/22/2020,28.6
11/29/2020,28.9
12/6/2020,28.9
12/13/2020,30.2
12/20/2020,30.2
1/10/2021,28.4
1/17/2021,28.4
1/24/2021,28.4
1/31/2021,28.4
2/7/2021,28.1
2/14/2021,28.1
2/21/2021,27.8
2/28/2021,27.8
3/7/2021,26.4
3/14/2021,26.4
3/21/2021,24.7
3/28/2021,24.7
4/18/2021,23.0
4/25/2021,23.0
5/2/2021,21.9
5/9/2021,21.9
5/16/2021,21.5
5/23/2021,21.5
5/30/2021,20.9
6/6/2021,20.9
6/13/2021,21.6
6/20/2021,21.6
6/27/2021,20.9
7/4/2021,20.9
7/25/2021,22.1
8/1/2021,22.1
8/8/2021,21.4
8/15/2021,21.4
8/22/2021,22.6
8/29/2021,22.6
9/5/2021,22.4
9/12/2021,22.4
9/19/2021,22.3
9/26/2021,22.3
10/3/2021,21.8
10/10/2021,21.8
12/5/2021,21.4
12/12/2021,21.4
1/2/2022,22.8
1/9/2022,22.8
1/30/2022,22.2
2/6/2022,22.2
3/6/2022,21.7
3/13/2022,21.7
