Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,37.3
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,30.6
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,33.5
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,27.0
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,36.6
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,32.8
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,31.5
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,24.2
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,34.3
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,30.5
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,30.2
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,22.7
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,40.6
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,29.5
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,32.4
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,23.7
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1,5,"May 28 - June 2, 2020",05/28/2020,06/02/2020,37.8
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1,5,"May 28 - June 2, 2020",05/28/2020,06/02/2020,31.4
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1,5,"May 28 - June 2, 2020",05/28/2020,06/02/2020,32.8
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1,5,"May 28 - June 2, 2020",05/28/2020,06/02/2020,25.9
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1,6,"June 4 - June 9, 2020",06/04/2020,06/09/2020,36.9
