week,googleTrendsCovidValue,googleTrendsAnxietyValue,cdcValue
2020-04-26,39,49,30.8
2020-05-03,37,30,30.8
2020-05-10,37,45,30.0
2020-05-17,35,61,28.2
2020-05-24,32,42,29.4
2020-05-31,26,35,30.6
2020-06-07,29,41,31.1
2020-06-14,35,27,31.7
2020-06-21,45,38,31.2
2020-06-28,54,89,33.0
2020-07-05,57,83,34.0
2020-07-12,58,72,35.6
2020-07-19,49,45,36.1
2020-08-23,31,63,31.4
2020-08-30,32,36,31.4
2020-09-06,28,26,31.6
2020-09-13,28,41,31.6
2020-09-20,28,37,32.6
2020-09-27,35,44,32.6
2020-10-04,38,17,32.4
2020-10-11,32,43,32.4
2020-10-18,37,38,32.8
2020-10-25,41,38,32.8
2020-11-01,33,42,36.3
2020-11-08,54,82,36.3
2020-11-15,71,56,37.2
2020-11-22,54,69,37.2
2020-11-29,53,77,36.1
2020-12-06,58,72,36.1
2020-12-13,57,37,36.9
2020-12-20,57,66,36.9
2021-01-10,60,29,35.8
2021-01-17,58,30,35.8
2021-01-24,56,42,36.1
2021-01-31,52,36,36.1
2021-02-07,50,54,33.8
2021-02-14,43,31,33.8
2021-02-21,46,36,33.4
2021-02-28,53,24,33.4
2021-03-07,57,60,31.4
2021-03-14,51,34,31.4
2021-03-21,50,36,30.1
2021-03-28,54,30,30.1
2021-04-18,37,42,27.4
2021-04-25,41,36,27.4
2021-05-02,33,30,26.5
2021-05-09,32,44,26.5
2021-05-16,29,62,25.7
2021-05-23,24,37,25.7
2021-05-30,22,31,25.4
2021-06-06,21,25,25.4
2021-06-13,20,25,26.1
2021-06-20,19,38,26.1
2021-06-27,19,19,24.5
2021-07-04,20,25,24.5
2021-07-25,44,43,27.0
2021-08-01,63,50,27.0
2021-08-08,58,38,26.6
2021-08-15,58,80,26.6
2021-08-22,59,51,27.8
2021-08-29,60,38,27.8
2021-09-05,48,60,28.1
2021-09-12,42,45,28.1
2021-09-19,37,52,27.8
2021-09-26,35,32,27.8
2021-10-03,32,45,27.3
2021-10-10,29,40,27.3
2021-12-05,34,19,26.5
2021-12-12,44,33,26.5
2022-01-02,100,51,27.9
2022-01-09,82,52,27.9
2022-01-30,30,20,27.2
2022-02-06,25,13,27.2
2022-03-06,16,40,27.3
2022-03-13,16,20,27.3
