week,anxiety,bodyAches,cough,covid,depression,fatigue,hyperventilation,lossOfFocus,panicAttacks,sadness,soreThroat,suicidalThoughts
1/5/2020,0,32,58,1,81,75,45,17,78,74,33,55
1/12/2020,0,30,53,0,84,74,43,16,84,89,28,49
1/19/2020,0,32,54,1,84,75,76,43,81,78,29,60
1/26/2020,0,37,57,1,89,75,98,33,88,95,35,64
2/2/2020,0,32,58,1,92,76,71,36,80,82,38,54
2/9/2020,0,32,56,1,88,75,60,36,78,86,37,67
2/16/2020,0,33,54,1,90,80,65,39,86,84,35,58
2/23/2020,0,32,54,2,95,79,67,34,85,89,37,61
3/1/2020,0,36,60,5,95,80,61,22,84,79,45,66
3/8/2020,21,44,82,20,90,84,60,34,81,84,70,60
3/15/2020,100,57,100,53,96,77,55,18,86,83,100,46
3/22/2020,92,56,89,62,95,75,70,33,95,93,84,54
3/29/2020,81,46,71,66,99,73,94,59,100,88,70,66
4/5/2020,77,39,55,58,100,73,89,60,93,89,51,60
4/12/2020,49,34,38,47,97,69,82,31,85,85,33,65
4/19/2020,50,29,34,42,99,72,100,52,86,97,25,57
4/26/2020,49,24,29,39,97,75,71,52,84,90,22,59
5/3/2020,30,22,25,37,96,76,82,55,86,90,21,60
5/10/2020,45,22,23,37,91,78,90,35,80,89,20,73
5/17/2020,61,22,21,35,80,74,77,41,80,86,20,48
5/24/2020,42,21,19,32,72,75,70,22,81,80,20,59
5/31/2020,35,20,16,26,66,70,63,29,77,79,18,52
6/7/2020,41,22,17,29,68,77,69,48,82,79,20,58
6/14/2020,27,24,20,35,69,86,69,37,89,69,22,74
6/21/2020,38,31,23,45,70,90,76,26,92,74,28,59
6/28/2020,89,31,26,54,69,87,60,23,89,71,32,100
7/5/2020,83,33,26,57,70,91,72,20,92,76,35,65
7/12/2020,72,28,27,58,69,92,73,39,90,82,36,76
7/19/2020,45,28,26,49,74,93,75,43,93,72,31,69
7/26/2020,74,28,25,47,73,91,66,50,90,78,31,51
8/2/2020,67,28,24,43,71,86,72,26,89,81,29,60
8/9/2020,28,25,23,38,69,85,65,39,89,72,27,58
8/16/2020,50,21,22,35,79,84,60,29,87,77,25,60
8/23/2020,63,20,20,31,72,82,61,28,85,85,23,51
8/30/2020,36,21,21,32,72,81,54,70,82,83,23,63
