Category: All categories

Region,covid: (1/1/20 - 4/25/22)
Vermont,100
Hawaii,88
Alaska,82
New Hampshire,81
Massachusetts,79
Maine,79
Connecticut,79
Minnesota,79
Rhode Island,79
Oregon,77
District of Columbia,76
Montana,76
Colorado,74
Wisconsin,74
New Jersey,73
Washington,71
New Mexico,70
Illinois,69
Delaware,69
South Dakota,69
Pennsylvania,69
California,69
Utah,68
Michigan,67
Maryland,67
West Virginia,65
Arizona,65
Iowa,64
Wyoming,64
Idaho,64
Virginia,63
New York,63
North Dakota,63
Ohio,62
Nebraska,62
Florida,61
Missouri,60
Indiana,60
Nevada,60
Kentucky,59
Kansas,58
Tennessee,58
North Carolina,57
Arkansas,57
South Carolina,55
Oklahoma,55
Texas,54
Georgia,54
Alabama,50
Louisiana,47
Mississippi,46
