Category: All categories

Week,depression: (United States)
2020-01-05,81
2020-01-12,84
2020-01-19,84
2020-01-26,89
2020-02-02,92
2020-02-09,88
2020-02-16,90
2020-02-23,95
2020-03-01,95
2020-03-08,90
2020-03-15,96
2020-03-22,95
2020-03-29,99
2020-04-05,100
2020-04-12,97
2020-04-19,99
2020-04-26,97
2020-05-03,96
2020-05-10,91
2020-05-17,80
2020-05-24,72
2020-05-31,66
2020-06-07,68
2020-06-14,69
2020-06-21,70
2020-06-28,69
2020-07-05,70
2020-07-12,69
2020-07-19,74
2020-07-26,73
2020-08-02,71
2020-08-09,69
2020-08-16,79
2020-08-23,72
2020-08-30,72
2020-09-06,79
2020-09-13,81
2020-09-20,78
2020-09-27,75
2020-10-04,80
2020-10-11,78
2020-10-18,82
2020-10-25,78
2020-11-01,67
2020-11-08,79
2020-11-15,85
2020-11-22,65
2020-11-29,81
2020-12-06,82
2020-12-13,73
2020-12-20,57
2020-12-27,61
2021-01-03,65
2021-01-10,72
2021-01-17,73
2021-01-24,79
2021-01-31,78
2021-02-07,81
2021-02-14,78
2021-02-21,84
2021-02-28,80
2021-03-07,77
2021-03-14,75
2021-03-21,75
2021-03-28,70
2021-04-04,74
2021-04-11,77
2021-04-18,78
2021-04-25,74
2021-05-02,74
2021-05-09,72
2021-05-16,70
2021-05-23,66
2021-05-30,64
2021-06-06,64
2021-06-13,66
2021-06-20,60
2021-06-27,61
2021-07-04,58
2021-07-11,61
2021-07-18,60
2021-07-25,60
2021-08-01,56
2021-08-08,58
2021-08-15,58
2021-08-22,60
2021-08-29,66
2021-09-05,61
2021-09-12,73
2021-09-19,72
2021-09-26,71
2021-10-03,71
2021-10-10,71
2021-10-17,71
2021-10-24,73
2021-10-31,72
2021-11-07,76
2021-11-14,77
2021-11-21,58
2021-11-28,73
2021-12-05,75
2021-12-12,67
2021-12-19,48
2021-12-26,51
2022-01-02,60
2022-01-09,66
2022-01-16,65
2022-01-23,73
2022-01-30,79
2022-02-06,75
2022-02-13,74
2022-02-20,72
2022-02-27,76
2022-03-06,74
2022-03-13,67
2022-03-20,71
2022-03-27,71
2022-04-03,71
2022-04-10,71
2022-04-17,70
2022-04-24,64
