Category: All categories

Week,hyperventilation: (United States)
2020-01-05,45
2020-01-12,43
2020-01-19,76
2020-01-26,98
2020-02-02,71
2020-02-09,60
2020-02-16,65
2020-02-23,67
2020-03-01,61
2020-03-08,60
2020-03-15,55
2020-03-22,70
2020-03-29,94
2020-04-05,89
2020-04-12,82
2020-04-19,100
2020-04-26,71
2020-05-03,82
2020-05-10,90
2020-05-17,77
2020-05-24,70
2020-05-31,63
2020-06-07,69
2020-06-14,69
2020-06-21,76
2020-06-28,60
2020-07-05,72
2020-07-12,73
2020-07-19,75
2020-07-26,66
2020-08-02,72
2020-08-09,65
2020-08-16,60
2020-08-23,61
2020-08-30,54
2020-09-06,66
2020-09-13,59
2020-09-20,80
2020-09-27,70
2020-10-04,80
2020-10-11,78
2020-10-18,87
2020-10-25,77
2020-11-01,66
2020-11-08,82
2020-11-15,80
2020-11-22,58
2020-11-29,65
2020-12-06,80
2020-12-13,70
2020-12-20,31
2020-12-27,67
2021-01-03,53
2021-01-10,56
2021-01-17,62
2021-01-24,68
2021-01-31,74
2021-02-07,65
2021-02-14,75
2021-02-21,71
2021-02-28,72
2021-03-07,67
2021-03-14,75
2021-03-21,81
2021-03-28,62
2021-04-04,82
2021-04-11,73
2021-04-18,71
2021-04-25,66
2021-05-02,64
2021-05-09,55
2021-05-16,49
2021-05-23,63
2021-05-30,46
2021-06-06,62
2021-06-13,55
2021-06-20,55
2021-06-27,53
2021-07-04,54
2021-07-11,56
2021-07-18,58
2021-07-25,57
2021-08-01,51
2021-08-08,44
2021-08-15,47
2021-08-22,58
2021-08-29,66
2021-09-05,54
2021-09-12,60
2021-09-19,67
2021-09-26,70
2021-10-03,52
2021-10-10,66
2021-10-17,59
2021-10-24,72
2021-10-31,57
2021-11-07,59
2021-11-14,57
2021-11-21,44
2021-11-28,68
2021-12-05,59
2021-12-12,55
2021-12-19,38
2021-12-26,45
2022-01-02,46
2022-01-09,54
2022-01-16,55
2022-01-23,48
2022-01-30,65
2022-02-06,53
2022-02-13,59
2022-02-20,75
2022-02-27,65
2022-03-06,69
2022-03-13,58
2022-03-20,70
2022-03-27,79
2022-04-03,64
2022-04-10,62
2022-04-17,82
2022-04-24,59
