Category: All categories

Week,loss of focus: (United States)
2020-01-05,17
2020-01-12,16
2020-01-19,43
2020-01-26,33
2020-02-02,36
2020-02-09,36
2020-02-16,39
2020-02-23,34
2020-03-01,22
2020-03-08,34
2020-03-15,18
2020-03-22,33
2020-03-29,59
2020-04-05,60
2020-04-12,31
2020-04-19,52
2020-04-26,52
2020-05-03,55
2020-05-10,35
2020-05-17,41
2020-05-24,22
2020-05-31,29
2020-06-07,48
2020-06-14,37
2020-06-21,26
2020-06-28,23
2020-07-05,20
2020-07-12,39
2020-07-19,43
2020-07-26,50
2020-08-02,26
2020-08-09,39
2020-08-16,29
2020-08-23,28
2020-08-30,70
2020-09-06,43
2020-09-13,42
2020-09-20,40
2020-09-27,39
2020-10-04,54
2020-10-11,65
2020-10-18,64
2020-10-25,70
2020-11-01,46
2020-11-08,83
2020-11-15,69
2020-11-22,37
2020-11-29,69
2020-12-06,98
2020-12-13,43
2020-12-20,15
2020-12-27,11
2021-01-03,14
2021-01-10,41
2021-01-17,31
2021-01-24,59
2021-01-31,60
2021-02-07,64
2021-02-14,25
2021-02-21,64
2021-02-28,61
2021-03-07,67
2021-03-14,36
2021-03-21,59
2021-03-28,57
2021-04-04,50
2021-04-11,99
2021-04-18,100
2021-04-25,53
2021-05-02,50
2021-05-09,44
2021-05-16,47
2021-05-23,36
2021-05-30,26
2021-06-06,40
2021-06-13,26
2021-06-20,44
2021-06-27,33
2021-07-04,15
2021-07-11,59
2021-07-18,27
2021-07-25,26
2021-08-01,22
2021-08-08,26
2021-08-15,47
2021-08-22,34
2021-08-29,38
2021-09-05,23
2021-09-12,49
2021-09-19,53
2021-09-26,53
2021-10-03,41
2021-10-10,54
2021-10-17,50
2021-10-24,54
2021-10-31,70
2021-11-07,61
2021-11-14,45
2021-11-21,20
2021-11-28,44
2021-12-05,53
2021-12-12,62
2021-12-19,29
2021-12-26,31
2022-01-02,49
2022-01-09,38
2022-01-16,27
2022-01-23,66
2022-01-30,36
2022-02-06,48
2022-02-13,56
2022-02-20,43
2022-02-27,46
2022-03-06,63
2022-03-13,62
2022-03-20,47
2022-03-27,48
2022-04-03,60
2022-04-10,34
2022-04-17,98
2022-04-24,62
