Category: All categories

Week,Panic attack: (United States)
2020-01-05,78
2020-01-12,84
2020-01-19,81
2020-01-26,88
2020-02-02,80
2020-02-09,78
2020-02-16,86
2020-02-23,85
2020-03-01,84
2020-03-08,81
2020-03-15,86
2020-03-22,95
2020-03-29,100
2020-04-05,93
2020-04-12,85
2020-04-19,86
2020-04-26,84
2020-05-03,86
2020-05-10,80
2020-05-17,80
2020-05-24,81
2020-05-31,77
2020-06-07,82
2020-06-14,89
2020-06-21,92
2020-06-28,89
2020-07-05,92
2020-07-12,90
2020-07-19,93
2020-07-26,90
2020-08-02,89
2020-08-09,89
2020-08-16,87
2020-08-23,85
2020-08-30,82
2020-09-06,87
2020-09-13,84
2020-09-20,85
2020-09-27,80
2020-10-04,86
2020-10-11,85
2020-10-18,85
2020-10-25,86
2020-11-01,68
2020-11-08,82
2020-11-15,84
2020-11-22,76
2020-11-29,82
2020-12-06,80
2020-12-13,80
2020-12-20,80
2020-12-27,83
2021-01-03,83
2021-01-10,82
2021-01-17,85
2021-01-24,82
2021-01-31,83
2021-02-07,83
2021-02-14,78
2021-02-21,85
2021-02-28,83
2021-03-07,82
2021-03-14,80
2021-03-21,80
2021-03-28,83
2021-04-04,78
2021-04-11,83
2021-04-18,85
2021-04-25,80
2021-05-02,81
2021-05-09,78
2021-05-16,79
2021-05-23,80
2021-05-30,80
2021-06-06,85
2021-06-13,78
2021-06-20,78
2021-06-27,77
2021-07-04,78
2021-07-11,81
2021-07-18,80
2021-07-25,83
2021-08-01,79
2021-08-08,81
2021-08-15,84
2021-08-22,87
2021-08-29,85
2021-09-05,86
2021-09-12,87
2021-09-19,86
2021-09-26,89
2021-10-03,82
2021-10-10,83
2021-10-17,76
2021-10-24,78
2021-10-31,74
2021-11-07,78
2021-11-14,77
2021-11-21,70
2021-11-28,75
2021-12-05,74
2021-12-12,71
2021-12-19,72
2021-12-26,70
2022-01-02,78
2022-01-09,73
2022-01-16,74
2022-01-23,80
2022-01-30,78
2022-02-06,82
2022-02-13,83
2022-02-20,82
2022-02-27,78
2022-03-06,77
2022-03-13,75
2022-03-20,75
2022-03-27,73
2022-04-03,78
2022-04-10,72
2022-04-17,76
2022-04-24,74
