Category: All categories

Week,sadness: (United States)
2020-01-05,74
2020-01-12,89
2020-01-19,78
2020-01-26,95
2020-02-02,82
2020-02-09,86
2020-02-16,84
2020-02-23,89
2020-03-01,79
2020-03-08,84
2020-03-15,83
2020-03-22,93
2020-03-29,88
2020-04-05,89
2020-04-12,85
2020-04-19,97
2020-04-26,90
2020-05-03,90
2020-05-10,89
2020-05-17,86
2020-05-24,80
2020-05-31,79
2020-06-07,79
2020-06-14,69
2020-06-21,74
2020-06-28,71
2020-07-05,76
2020-07-12,82
2020-07-19,72
2020-07-26,78
2020-08-02,81
2020-08-09,72
2020-08-16,77
2020-08-23,85
2020-08-30,83
2020-09-06,84
2020-09-13,94
2020-09-20,95
2020-09-27,86
2020-10-04,87
2020-10-11,86
2020-10-18,95
2020-10-25,96
2020-11-01,65
2020-11-08,82
2020-11-15,85
2020-11-22,73
2020-11-29,80
2020-12-06,90
2020-12-13,78
2020-12-20,70
2020-12-27,77
2021-01-03,81
2021-01-10,75
2021-01-17,84
2021-01-24,83
2021-01-31,78
2021-02-07,74
2021-02-14,79
2021-02-21,73
2021-02-28,80
2021-03-07,83
2021-03-14,66
2021-03-21,76
2021-03-28,70
2021-04-04,71
2021-04-11,77
2021-04-18,66
2021-04-25,75
2021-05-02,76
2021-05-09,82
2021-05-16,76
2021-05-23,77
2021-05-30,69
2021-06-06,71
2021-06-13,65
2021-06-20,73
2021-06-27,62
2021-07-04,73
2021-07-11,73
2021-07-18,74
2021-07-25,72
2021-08-01,67
2021-08-08,72
2021-08-15,64
2021-08-22,73
2021-08-29,76
2021-09-05,71
2021-09-12,78
2021-09-19,67
2021-09-26,76
2021-10-03,70
2021-10-10,77
2021-10-17,82
2021-10-24,91
2021-10-31,80
2021-11-07,83
2021-11-14,87
2021-11-21,69
2021-11-28,75
2021-12-05,83
2021-12-12,74
2021-12-19,66
2021-12-26,67
2022-01-02,70
2022-01-09,87
2022-01-16,74
2022-01-23,73
2022-01-30,80
2022-02-06,68
2022-02-13,70
2022-02-20,73
2022-02-27,73
2022-03-06,73
2022-03-13,100
2022-03-20,76
2022-03-27,67
2022-04-03,76
2022-04-10,73
2022-04-17,79
2022-04-24,83
