Category: All categories

Week,sore throat: (United States)
2020-01-05,33
2020-01-12,28
2020-01-19,29
2020-01-26,35
2020-02-02,38
2020-02-09,37
2020-02-16,35
2020-02-23,37
2020-03-01,45
2020-03-08,70
2020-03-15,100
2020-03-22,84
2020-03-29,70
2020-04-05,51
2020-04-12,33
2020-04-19,25
2020-04-26,22
2020-05-03,21
2020-05-10,20
2020-05-17,20
2020-05-24,20
2020-05-31,18
2020-06-07,20
2020-06-14,22
2020-06-21,28
2020-06-28,32
2020-07-05,35
2020-07-12,36
2020-07-19,31
2020-07-26,31
2020-08-02,29
2020-08-09,27
2020-08-16,25
2020-08-23,23
2020-08-30,23
2020-09-06,24
2020-09-13,23
2020-09-20,24
2020-09-27,25
2020-10-04,28
2020-10-11,26
2020-10-18,26
2020-10-25,26
2020-11-01,24
2020-11-08,26
2020-11-15,30
2020-11-22,28
2020-11-29,28
2020-12-06,26
2020-12-13,25
2020-12-20,28
2020-12-27,29
2021-01-03,25
2021-01-10,23
2021-01-17,23
2021-01-24,22
2021-01-31,23
2021-02-07,22
2021-02-14,22
2021-02-21,22
2021-02-28,22
2021-03-07,22
2021-03-14,21
2021-03-21,23
2021-03-28,24
2021-04-04,26
2021-04-11,25
2021-04-18,25
2021-04-25,25
2021-05-02,25
2021-05-09,26
2021-05-16,25
2021-05-23,24
2021-05-30,26
2021-06-06,26
2021-06-13,26
2021-06-20,26
2021-06-27,27
2021-07-04,30
2021-07-11,31
2021-07-18,31
2021-07-25,34
2021-08-01,36
2021-08-08,36
2021-08-15,38
2021-08-22,41
2021-08-29,43
2021-09-05,44
2021-09-12,41
2021-09-19,40
2021-09-26,41
2021-10-03,39
2021-10-10,38
2021-10-17,36
2021-10-24,36
2021-10-31,44
2021-11-07,43
2021-11-14,41
2021-11-21,40
2021-11-28,44
2021-12-05,39
2021-12-12,45
2021-12-19,71
2021-12-26,92
2022-01-02,85
2022-01-09,72
2022-01-16,56
2022-01-23,38
2022-01-30,29
2022-02-06,27
2022-02-13,26
2022-02-20,26
2022-02-27,27
2022-03-06,28
2022-03-13,30
2022-03-20,30
2022-03-27,30
2022-04-03,31
2022-04-10,31
2022-04-17,35
2022-04-24,35
