Category: All categories

Week,anxiety about covid: (United States)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,21
2020-03-15,100
2020-03-22,92
2020-03-29,81
2020-04-05,77
2020-04-12,49
2020-04-19,50
2020-04-26,49
2020-05-03,30
2020-05-10,45
2020-05-17,61
2020-05-24,42
2020-05-31,35
2020-06-07,41
2020-06-14,27
2020-06-21,38
2020-06-28,89
2020-07-05,83
2020-07-12,72
2020-07-19,45
2020-07-26,74
2020-08-02,67
2020-08-09,28
2020-08-16,50
2020-08-23,63
2020-08-30,36
2020-09-06,26
2020-09-13,41
2020-09-20,37
2020-09-27,44
2020-10-04,17
2020-10-11,43
2020-10-18,38
2020-10-25,38
2020-11-01,42
2020-11-08,82
2020-11-15,56
2020-11-22,69
2020-11-29,77
2020-12-06,72
2020-12-13,37
2020-12-20,66
2020-12-27,37
2021-01-03,64
2021-01-10,29
2021-01-17,30
2021-01-24,42
2021-01-31,36
2021-02-07,54
2021-02-14,31
2021-02-21,36
2021-02-28,24
2021-03-07,60
2021-03-14,34
2021-03-21,36
2021-03-28,30
2021-04-04,43
2021-04-11,36
2021-04-18,42
2021-04-25,36
2021-05-02,30
2021-05-09,44
2021-05-16,62
2021-05-23,37
2021-05-30,31
2021-06-06,25
2021-06-13,25
2021-06-20,38
2021-06-27,19
2021-07-04,25
2021-07-11,37
2021-07-18,32
2021-07-25,43
2021-08-01,50
2021-08-08,38
2021-08-15,80
2021-08-22,51
2021-08-29,38
2021-09-05,60
2021-09-12,45
2021-09-19,52
2021-09-26,32
2021-10-03,45
2021-10-10,40
2021-10-17,39
2021-10-24,26
2021-10-31,7
2021-11-07,26
2021-11-14,13
2021-11-21,7
2021-11-28,19
2021-12-05,19
2021-12-12,33
2021-12-19,49
2021-12-26,26
2022-01-02,51
2022-01-09,52
2022-01-16,77
2022-01-23,20
2022-01-30,20
2022-02-06,13
2022-02-13,14
2022-02-20,13
2022-02-27,13
2022-03-06,40
2022-03-13,20
2022-03-20,39
2022-03-27,13
2022-04-03,12
2022-04-10,32
2022-04-17,27
2022-04-24,0
