Category: All categories

Week,covid: (United States)
2020-01-05,<1
2020-01-12,0
2020-01-19,<1
2020-01-26,<1
2020-02-02,<1
2020-02-09,<1
2020-02-16,<1
2020-02-23,2
2020-03-01,5
2020-03-08,20
2020-03-15,53
2020-03-22,62
2020-03-29,66
2020-04-05,58
2020-04-12,47
2020-04-19,42
2020-04-26,39
2020-05-03,37
2020-05-10,37
2020-05-17,35
2020-05-24,32
2020-05-31,26
2020-06-07,29
2020-06-14,35
2020-06-21,45
2020-06-28,54
2020-07-05,57
2020-07-12,58
2020-07-19,49
2020-07-26,47
2020-08-02,43
2020-08-09,38
2020-08-16,35
2020-08-23,31
2020-08-30,32
2020-09-06,28
2020-09-13,28
2020-09-20,28
2020-09-27,35
2020-10-04,38
2020-10-11,32
2020-10-18,37
2020-10-25,41
2020-11-01,33
2020-11-08,54
2020-11-15,71
2020-11-22,54
2020-11-29,53
2020-12-06,58
2020-12-13,57
2020-12-20,57
2020-12-27,60
2021-01-03,59
2021-01-10,60
2021-01-17,58
2021-01-24,56
2021-01-31,52
2021-02-07,50
2021-02-14,43
2021-02-21,46
2021-02-28,53
2021-03-07,57
2021-03-14,51
2021-03-21,50
2021-03-28,54
2021-04-04,50
2021-04-11,42
2021-04-18,37
2021-04-25,41
2021-05-02,33
2021-05-09,32
2021-05-16,29
2021-05-23,24
2021-05-30,22
2021-06-06,21
2021-06-13,20
2021-06-20,19
2021-06-27,19
2021-07-04,20
2021-07-11,25
2021-07-18,35
2021-07-25,44
2021-08-01,63
2021-08-08,58
2021-08-15,58
2021-08-22,59
2021-08-29,60
2021-09-05,48
2021-09-12,42
2021-09-19,37
2021-09-26,35
2021-10-03,32
2021-10-10,29
2021-10-17,26
2021-10-24,28
2021-10-31,29
2021-11-07,30
2021-11-14,32
2021-11-21,32
2021-11-28,38
2021-12-05,34
2021-12-12,44
2021-12-19,78
2021-12-26,99
2022-01-02,100
2022-01-09,82
2022-01-16,83
2022-01-23,43
2022-01-30,30
2022-02-06,25
2022-02-13,22
2022-02-20,18
2022-02-27,17
2022-03-06,16
2022-03-13,16
2022-03-20,14
2022-03-27,14
2022-04-03,14
2022-04-10,15
2022-04-17,15
2022-04-24,0
