Category: All categories

Week,fatigue: (United States)
2020-01-05,75
2020-01-12,74
2020-01-19,75
2020-01-26,75
2020-02-02,76
2020-02-09,75
2020-02-16,80
2020-02-23,79
2020-03-01,80
2020-03-08,84
2020-03-15,77
2020-03-22,75
2020-03-29,73
2020-04-05,73
2020-04-12,69
2020-04-19,72
2020-04-26,75
2020-05-03,76
2020-05-10,78
2020-05-17,74
2020-05-24,75
2020-05-31,70
2020-06-07,77
2020-06-14,86
2020-06-21,90
2020-06-28,87
2020-07-05,91
2020-07-12,92
2020-07-19,93
2020-07-26,91
2020-08-02,86
2020-08-09,85
2020-08-16,84
2020-08-23,82
2020-08-30,81
2020-09-06,79
2020-09-13,79
2020-09-20,84
2020-09-27,84
2020-10-04,93
2020-10-11,81
2020-10-18,92
2020-10-25,82
2020-11-01,68
2020-11-08,83
2020-11-15,89
2020-11-22,76
2020-11-29,82
2020-12-06,85
2020-12-13,81
2020-12-20,72
2020-12-27,78
2021-01-03,82
2021-01-10,83
2021-01-17,80
2021-01-24,81
2021-01-31,80
2021-02-07,81
2021-02-14,75
2021-02-21,84
2021-02-28,85
2021-03-07,85
2021-03-14,78
2021-03-21,83
2021-03-28,84
2021-04-04,91
2021-04-11,91
2021-04-18,90
2021-04-25,89
2021-05-02,82
2021-05-09,84
2021-05-16,81
2021-05-23,82
2021-05-30,82
2021-06-06,82
2021-06-13,80
2021-06-20,82
2021-06-27,76
2021-07-04,81
2021-07-11,85
2021-07-18,83
2021-07-25,85
2021-08-01,86
2021-08-08,87
2021-08-15,87
2021-08-22,87
2021-08-29,87
2021-09-05,89
2021-09-12,85
2021-09-19,85
2021-09-26,83
2021-10-03,84
2021-10-10,83
2021-10-17,79
2021-10-24,81
2021-10-31,77
2021-11-07,76
2021-11-14,78
2021-11-21,67
2021-11-28,80
2021-12-05,81
2021-12-12,80
2021-12-19,79
2021-12-26,94
2022-01-02,96
2022-01-09,100
2022-01-16,91
2022-01-23,89
2022-01-30,86
2022-02-06,87
2022-02-13,84
2022-02-20,80
2022-02-27,80
2022-03-06,82
2022-03-13,80
2022-03-20,82
2022-03-27,84
2022-04-03,80
2022-04-10,80
2022-04-17,87
2022-04-24,88
