week,I want to kill myself
2020-01-05,55
2020-01-12,49
2020-01-19,60
2020-01-26,64
2020-02-02,54
2020-02-09,67
2020-02-16,58
2020-02-23,61
2020-03-01,66
2020-03-08,60
2020-03-15,46
2020-03-22,54
2020-03-29,66
2020-04-05,60
2020-04-12,65
2020-04-19,57
2020-04-26,59
2020-05-03,60
2020-05-10,73
2020-05-17,48
2020-05-24,59
2020-05-31,52
2020-06-07,58
2020-06-14,74
2020-06-21,59
2020-06-28,100
2020-07-05,65
2020-07-12,76
2020-07-19,69
2020-07-26,51
2020-08-02,60
2020-08-09,58
2020-08-16,60
2020-08-23,51
2020-08-30,63
2020-09-06,49
2020-09-13,46
2020-09-20,70
2020-09-27,49
2020-10-04,55
2020-10-11,59
2020-10-18,57
2020-10-25,68
2020-11-01,49
2020-11-08,31
2020-11-15,83
2020-11-22,45
2020-11-29,53
2020-12-06,70
2020-12-13,64
2020-12-20,57
2020-12-27,52
2021-01-03,41
2021-01-10,56
2021-01-17,57
2021-01-24,64
2021-01-31,52
2021-02-07,84
2021-02-14,55
2021-02-21,58
2021-02-28,55
2021-03-07,58
2021-03-14,54
2021-03-21,76
2021-03-28,70
2021-04-04,42
2021-04-11,58
2021-04-18,59
2021-04-25,71
2021-05-02,60
2021-05-09,68
2021-05-16,75
2021-05-23,67
2021-05-30,49
2021-06-06,43
2021-06-13,64
2021-06-20,67
2021-06-27,54
2021-07-04,52
2021-07-11,70
2021-07-18,62
2021-07-25,62
2021-08-01,70
2021-08-08,61
2021-08-15,69
2021-08-22,66
2021-08-29,50
2021-09-05,79
2021-09-12,82
2021-09-19,36
2021-09-26,78
2021-10-03,66
2021-10-10,62
2021-10-17,53
2021-10-24,59
2021-10-31,92
2021-11-07,81
2021-11-14,54
2021-11-21,60
2021-11-28,71
2021-12-05,78
2021-12-12,66
2021-12-19,61
2021-12-26,76
2022-01-02,70
2022-01-09,71
2022-01-16,48
2022-01-23,74
2022-01-30,72
2022-02-06,63
2022-02-13,55
2022-02-20,64
2022-02-27,80
2022-03-06,65
2022-03-13,61
2022-03-20,62
2022-03-27,57
2022-04-03,84
2022-04-10,74
2022-04-17,58
2022-04-24,61
