Category: All categories

Week,covid: (United States)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,1
2020-02-16,3
2020-02-23,9
2020-03-01,13
2020-03-08,30
2020-03-15,61
2020-03-22,77
2020-03-29,100
2020-04-05,99
2020-04-12,76
2020-04-19,76
2020-04-26,82
2020-05-03,72
2020-05-10,51
2020-05-17,47
2020-05-24,36
2020-05-31,27
2020-06-07,28
2020-06-14,34
2020-06-21,40
2020-06-28,47
2020-07-05,46
2020-07-12,51
2020-07-19,44
2020-07-26,48
2020-08-02,40
2020-08-09,36
2020-08-16,35
2020-08-23,31
2020-08-30,31
2020-09-06,28
2020-09-13,29
2020-09-20,29
2020-09-27,46
2020-10-04,41
2020-10-11,31
2020-10-18,32
2020-10-25,36
2020-11-01,28
2020-11-08,39
2020-11-15,50
2020-11-22,44
2020-11-29,45
2020-12-06,56
2020-12-13,70
2020-12-20,59
2020-12-27,54
2021-01-03,52
2021-01-10,51
2021-01-17,51
2021-01-24,48
2021-01-31,41
2021-02-07,37
2021-02-14,34
2021-02-21,33
2021-02-28,36
2021-03-07,38
2021-03-14,36
2021-03-21,36
2021-03-28,39
2021-04-04,38
2021-04-11,38
2021-04-18,44
2021-04-25,68
2021-05-02,59
2021-05-09,49
2021-05-16,44
2021-05-23,35
2021-05-30,31
2021-06-06,29
2021-06-13,26
2021-06-20,29
2021-06-27,27
2021-07-04,29
2021-07-11,34
2021-07-18,42
2021-07-25,49
2021-08-01,59
2021-08-08,66
2021-08-15,62
2021-08-22,79
2021-08-29,58
2021-09-05,56
2021-09-12,50
2021-09-19,49
2021-09-26,42
2021-10-03,35
2021-10-10,30
2021-10-17,29
2021-10-24,28
2021-10-31,30
2021-11-07,30
2021-11-14,29
2021-11-21,40
2021-11-28,54
2021-12-05,35
2021-12-12,39
2021-12-19,46
2021-12-26,50
2022-01-02,58
2022-01-09,53
2022-01-16,44
2022-01-23,33
2022-01-30,30
2022-02-06,24
2022-02-13,21
2022-02-20,16
2022-02-27,17
2022-03-06,15
2022-03-13,16
2022-03-20,15
2022-03-27,15
2022-04-03,15
2022-04-10,17
2022-04-17,15
2022-04-24,0
