Category: All categories

Region,covid: (1/1/20 - 4/25/22)
Alaska,100
Washington,97
California,95
Hawaii,91
New Jersey,89
Vermont,88
Massachusetts,88
Arizona,87
Virginia,87
New Hampshire,86
New York,85
Montana,83
Oregon,82
Colorado,82
Maine,80
Illinois,79
Pennsylvania,78
Michigan,76
Maryland,76
Texas,75
Ohio,75
Idaho,74
New Mexico,74
Florida,73
Minnesota,72
Rhode Island,71
District of Columbia,71
Connecticut,71
Wyoming,69
Delaware,68
North Carolina,67
Georgia,66
Nevada,65
South Dakota,64
Utah,62
West Virginia,62
Tennessee,62
Arkansas,62
Wisconsin,61
North Dakota,61
Nebraska,58
Kansas,56
Iowa,56
Kentucky,56
Indiana,55
Missouri,54
Oklahoma,53
South Carolina,52
Alabama,46
Louisiana,44
Mississippi,43
