"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt"
"1","FMc280EtXxs","Damn, I hope it doesn&#39;t spread to the four corners of the globe and alter the course of human history. That would be grim.","Damn, I hope it doesn't spread to the four corners of the globe and alter the course of human history. That would be grim.","Richie Beck","https://yt3.ggpht.com/ytc/AKedOLSxoCAnb_RlCcA31Kyw9xRXe2qWp4lT3te04Kq9=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC2Hsk6vIsYf66gd85RcGP9A","UC2Hsk6vIsYf66gd85RcGP9A","TRUE","none","6","2022-04-11T23:17:49Z","2022-04-11T23:17:49Z"
"2","FMc280EtXxs","Historic video.","Historic video.","Zach","https://yt3.ggpht.com/24KXBSRIkhnTjqxlPZS2F2CwWLYpeaPhgqDDDo0TktBp69BLz6jnMAnzX34QQZE59cjnlY1Rfw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCOKQHAXAXd_YpcwHkxZ3UZw","UCOKQHAXAXd_YpcwHkxZ3UZw","TRUE","none","5","2022-04-10T22:34:21Z","2022-04-10T22:34:21Z"
"3","FMc280EtXxs","I like the lockdowns","I like the lockdowns","elchamber","https://yt3.ggpht.com/ytc/AKedOLQ4sVMxY1Vlb_UN2KCy0lf_TRUkEhxmmnmhGw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCV_5q0D90t8Cte6miDX9PIA","UCV_5q0D90t8Cte6miDX9PIA","TRUE","none","1","2022-04-09T08:10:22Z","2022-04-09T08:10:22Z"
"4","FMc280EtXxs","2 years later and they still dont know anything..","2 years later and they still dont know anything..","Johnny Price","https://yt3.ggpht.com/ytc/AKedOLSAs8d2pIl1L7Lg_dSK5NIgu0eT3FhN2hqQ3w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCm6AkOxBdt7jqRd8ItvhrKA","UCm6AkOxBdt7jqRd8ItvhrKA","TRUE","none","2","2022-04-08T01:05:51Z","2022-04-08T01:05:51Z"
"5","FMc280EtXxs","I live in Oregon and when we heard the news we were spooked and thought maybe I could last until April boy were we wrong","I live in Oregon and when we heard the news we were spooked and thought maybe I could last until April boy were we wrong","w9sh cl0thes","https://yt3.ggpht.com/9M20AsNSbup0W4O7_5i7i7M0ks7Ds8SyfKX1_2hgXJWJxsGCiCioyJVWUGsCPM2slL3bPVnp=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCAqRuEsrJtucAMICslJ1zrQ","UCAqRuEsrJtucAMICslJ1zrQ","TRUE","none","1","2022-04-07T06:05:49Z","2022-04-07T06:05:49Z"
"6","FMc280EtXxs","so odd...Now at 6 million deaths....More than","so odd...Now at 6 million deaths....More than","Sheila Rogge","https://yt3.ggpht.com/4V0L6wshph3ESFdRDwlkeSS6r3dHpSIrqG-Wb8bp1ilQSpdpAjd-xnZ534_s2QI-Zxa4EdcrCw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCmGVIoMjcCQJHpuFsSwkLeQ","UCmGVIoMjcCQJHpuFsSwkLeQ","TRUE","none","0","2022-04-06T23:34:55Z","2022-04-06T23:34:55Z"
"7","FMc280EtXxs","It’s weird looking back on these stories in 2022 <U+0001F633>","It’s weird looking back on these stories in 2022 <U+0001F633>","Charlie Baker","https://yt3.ggpht.com/ytc/AKedOLT8tReZZdZM7vtoud7BxCbedxS3hIF3lh34gA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCJLIucq8gtKzUQMCML2-c7Q","UCJLIucq8gtKzUQMCML2-c7Q","TRUE","none","5","2022-04-03T23:10:30Z","2022-04-03T23:10:30Z"
"8","FMc280EtXxs","WW2: I am the king <br>Coronavirus: Hold my beer.","WW2: I am the king 
Coronavirus: Hold my beer.","booba boopi","https://yt3.ggpht.com/ytc/AKedOLSfBgtT8HsTGpC7D_Nm9AIfvCfLsL7WWGUWUg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCwngrrU-1VNGkq-qWCI8hug","UCwngrrU-1VNGkq-qWCI8hug","TRUE","none","1","2022-04-03T02:29:12Z","2022-04-03T02:29:12Z"
"9","FMc280EtXxs","Here finally after 2 years and guys imagine what we faced in thin last 2 years","Here finally after 2 years and guys imagine what we faced in thin last 2 years","Lyrical. Com","https://yt3.ggpht.com/ytc/AKedOLSvxsueBMEZ18oma51znDIq2cSWWvd-p7eboDaAjA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCKPBCJLpTsTCq2upsDN9Wrg","UCKPBCJLpTsTCq2upsDN9Wrg","TRUE","none","3","2022-04-02T02:54:11Z","2022-04-02T02:54:11Z"
"10","FMc280EtXxs","Damn","Damn","John Bililake","https://yt3.ggpht.com/ytc/AKedOLT9xcw_tRz2wUSTiXSboiMHsCxjseU2FrcRP-Qe=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCp6HZGlsDoTuzjVXUzuoXig","UCp6HZGlsDoTuzjVXUzuoXig","TRUE","none","0","2022-04-01T01:16:18Z","2022-04-01T01:16:18Z"
